time_s,phase_deg,amp_v,freq_hz
0.0000,-1.008,1.000239,99609.4
0.0100,-1.040,1.003654,99609.4
0.0200,-1.025,1.003953,99609.4
0.0300,-1.016,1.002179,99609.4
0.0400,-1.020,1.000365,99609.4
0.0500,-1.004,0.995681,99609.4
0.0600,-1.025,1.003958,99609.4
0.0700,-1.028,1.003440,99609.4
0.0800,-1.035,1.004030,99609.4
0.0900,-1.036,1.002402,99609.4
0.1000,-1.031,1.003092,99609.4
0.1100,-1.023,1.004068,99609.4
0.1200,-1.042,1.004034,99609.4
0.1300,-1.031,1.002862,99609.4
0.1400,-1.042,1.002182,99609.4
0.1500,-1.032,1.002062,99609.4
0.1600,-1.033,1.001114,99609.4
0.1700,-1.045,1.000811,99609.4
0.1800,-1.022,1.000041,99609.4
0.1900,-1.012,0.995753,99609.4
0.2000,-1.006,1.000959,99609.4
0.2100,-1.007,0.993740,99609.4
0.2200,-1.029,1.002162,99609.4
0.2300,-0.987,0.991948,99609.4
0.2400,-1.000,0.989488,99609.4
0.2500,-1.014,0.994562,99609.4
0.2600,-1.021,1.001872,99609.4
0.2700,-1.007,0.999118,99609.4
0.2800,-1.011,0.993628,99609.4
0.2900,-1.009,1.002878,99609.4
0.3000,-1.019,1.000142,99609.4
0.3100,-1.014,1.002442,99609.4
0.3200,-1.032,1.001616,99609.4
0.3300,-1.027,1.000026,99609.4
0.3400,-1.041,1.000456,99609.4
0.3500,-1.043,1.000903,99609.4
0.3600,-1.039,1.003001,99609.4
0.3700,-1.027,1.003164,99609.4
0.3800,-1.007,1.001213,99609.4
0.3900,-1.030,1.003998,99609.4
0.4000,-1.027,1.003726,99609.4
0.4100,-1.027,1.003662,99609.4
0.4200,-1.029,1.001764,99609.4
0.4300,-1.023,1.003822,99609.4
0.4400,-0.999,1.000478,99609.4
0.4500,-1.010,0.999054,99609.4
0.4600,-1.030,0.999846,99609.4
0.4700,-1.024,0.998509,99609.4
0.4800,-1.005,0.999739,99609.4
0.4900,-1.015,0.994666,99609.4
0.5000,-1.023,1.002780,99609.4
0.5100,-0.993,0.991818,99609.4
0.5200,-0.979,0.991012,99609.4
0.5300,-1.017,0.996606,99609.4
0.5400,-1.004,0.997197,99609.4
0.5500,-1.013,0.998489,99609.4
0.5600,-1.008,0.990820,99609.4
0.5700,-1.023,1.000687,99609.4
0.5800,-0.993,0.997554,99609.4
0.5900,-1.023,1.003771,99609.4
0.6000,-1.012,1.000186,99609.4
0.6100,-1.024,1.004132,99609.4
0.6200,-1.001,0.996014,99609.4
0.6300,-0.994,0.994085,99609.4
0.6400,-1.013,0.994049,99609.4
0.6500,-1.056,0.999186,99609.4
0.6600,-1.006,0.998858,99609.4
0.6700,-1.037,1.003774,99609.4
0.6800,-1.041,0.997532,99609.4
0.6900,-1.050,0.998661,99609.4
0.7000,-1.038,1.001012,99609.4
0.7100,-1.040,1.001140,99609.4
0.7200,-1.053,0.996720,99609.4
0.7300,-1.060,0.994494,99609.4
0.7400,-1.043,1.000893,99609.4
0.7500,-1.037,0.997601,99609.4
0.7600,-1.027,1.000056,99609.4
0.7700,-1.045,1.002638,99609.4
0.7800,-1.046,0.992411,99609.4
0.7900,-1.028,0.993518,99609.4
0.8000,-1.046,0.996279,99609.4
0.8100,-1.054,0.997898,99609.4
0.8200,-1.043,0.999293,99609.4
0.8300,-1.030,1.003840,99609.4
0.8400,-1.045,0.997764,99609.4
0.8500,-1.037,1.003663,99609.4
0.8600,-1.026,1.003609,99609.4
0.8700,-1.023,1.001518,99609.4
0.8800,-1.022,1.003883,99609.4
0.8900,-1.032,1.003910,99609.4
0.9000,-1.032,1.003845,99609.4
0.9100,-1.035,1.002765,99609.4
0.9200,-1.017,1.003511,99609.4
0.9300,-1.035,1.001057,99609.4
0.9400,-1.043,1.001293,99609.4
0.9500,-1.013,0.999381,99609.4
0.9600,-1.020,1.003056,99609.4
0.9700,-1.028,1.003851,99609.4
0.9800,-1.034,1.003805,99609.4
0.9900,-1.014,0.997940,99609.4
1.0000,-1.002,0.990927,99609.4
1.0100,-1.034,0.998322,99609.4
1.0200,-1.010,0.994599,99609.4
1.0300,-0.992,0.996247,99609.4
1.0400,-1.014,1.000955,99609.4
1.0500,-1.010,0.999109,99609.4
1.0600,-1.006,0.997711,99609.4
1.0700,-1.051,0.998772,99609.4
1.0800,-1.016,0.996637,99609.4
1.0900,-1.003,0.995647,99609.4
1.1000,-1.008,0.998940,99609.4
1.1100,-1.029,0.992927,99609.4
1.1200,-0.984,0.991478,99609.4
1.1300,-1.017,1.001885,99609.4
1.1400,-0.999,1.000206,99609.4
1.1500,-1.016,1.001347,99609.4
1.1600,-1.005,1.000707,99609.4
1.1700,-1.022,1.002227,99609.4
1.1800,-1.016,1.003018,99609.4
1.1900,-1.020,1.000400,99609.4
1.2000,-1.039,1.002087,99609.4
1.2100,-1.024,1.003690,99609.4
1.2200,-1.025,1.002755,99609.4
1.2300,-1.050,0.999979,99609.4
1.2400,-1.041,1.002329,99609.4
1.2500,-1.027,1.002860,99609.4
1.2600,-1.034,1.002904,99609.4
1.2700,-1.012,1.002419,99609.4
1.2800,-1.035,1.002240,99609.4
1.2900,-1.036,1.003732,99609.4
1.3000,-1.035,1.003433,99609.4
1.3100,-1.021,1.003836,99609.4
1.3200,-1.033,0.997859,99609.4
1.3300,-1.017,1.003392,99609.4
1.3400,-1.034,1.003870,99609.4
1.3500,-1.035,1.003763,99609.4
1.3600,-1.045,1.000496,99609.4
1.3700,-1.032,1.003249,99609.4
1.3800,-1.050,0.999796,99609.4
1.3900,-1.041,1.000009,99609.4
1.4000,-1.039,1.000331,99609.4
1.4100,-1.036,1.003929,99609.4
1.4200,-1.023,1.003818,99609.4
1.4300,-1.035,1.002862,99609.4
